Mensagem,Bateria,Tag,Serial,Familia
17/11/2020 16:18:02,59.67,4084951,0534 BV,LTR6
26/08/2020 15:44:22,44.6,4071482,0012 J,LJ
27/01/2020 17:49:49,42.47,4085552,0005 C,LTR5
21/09/2020 14:37:33,81.58,4080022,0559 BV,LTR6
29/07/2019 04:50:12,87.98,4085822,0625 J,LTR6
18/11/2020 13:31:46,59.67,4085458,0591 C,LJ
18/11/2020 14:16:44,84.78,4103933,0662 J,LTR6
17/03/2020 10:38:50,86.76,4102753,0474 J R,LTR5
16/08/2020 17:58:44,59.06,4081727,0550 BV,LTR6
18/11/2020 10:56:20,84.78,4103766,0565 BV,LTR6
17/09/2020 10:40:03,82.04,4085982,0510 J,LJ
17/11/2020 17:40:31,73.06,4104116,0560 C,LJ
18/11/2020 08:57:29,69.71,4082539,0671 J,LTR6
09/11/2019 11:20:36,74.58,4086046,0008 C,LTR5
04/11/2020 21:28:44,65.3,4085475,0547 BV,LTR6
18/11/2020 06:49:25,88.13,4079001,0013 C,LJ
24/09/2020 23:03:05,84.78,4083578,0522 J,LJ
09/09/2020 00:03:36,72,4096251,0067 J,LTR6
18/11/2020 04:36:21,41.25,4105248,0640 J,LTR6
06/10/2020 16:03:29,76.41,4104024,0005 C,LJ
18/11/2020 10:00:21,81.43,4103826,0003 A,LJ
30/12/2019 19:31:57,79.76,4084957,0056 C,LJ
18/11/2020 09:44:39,86.45,4085739,0126 J R,LTR6
05/08/2020 18:26:35,69.71,4085617,0665 J,LTR6
12/11/2020 20:13:36,81.43,4085280,0706 J,LTR6
18/11/2020 06:21:10,68.04,4085136,0827 J,LTR6
16/11/2020 04:16:20,88.13,4084922,0718 J A,CDTR14
20/08/2019 09:31:07,62.87,4102433,1235 J B,CDTR14
18/11/2020 10:07:18,63.02,4083579,1263 J A,CDTR14
18/08/2019 06:24:45,83.72,4085126,1263 J B,CDTR14
01/10/2020 06:53:37,66.37,4086002,1262 J A,CDTR14
16/11/2020 04:08:37,87.06,4080663,1265 J B,CDTR14
13/11/2020 01:56:19,89.8,4102767,0014 A,LTR6
16/11/2020 13:27:01,79.76,4102095,0032 J,LJ
18/11/2020 06:53:04,86.45,4062720,1254 J B,CDTR14
30/09/2019 18:32:48,67.43,4085862,0775 J A,CDTR14
26/07/2019 02:41:42,12.49,4068934,1317 J A,CDTR14
16/09/2020 21:33:53,25.43,4080859,1288 J A,CDTR14
04/10/2019 21:38:21,75.34,4063992,0416 J A,CDTR14
02/08/2020 22:30:36,87.82,4095265,0682 J A,CDTR14
13/10/2020 13:08:23,83.26,4080385,1083 J A,CDTR14
06/11/2020 17:34:39,36.23,4072389,1082 J A,CDTR14
09/07/2019 14:52:07,78.08,4073593,1103 J A,CDTR14
02/08/2019 11:14:03,64.23,4062930,1206 J A,CDTR14
13/10/2020 04:53:21,86.45,4104374,1145 J B,CDTR14
20/10/2020 22:57:43,71.39,4104696,0287 J A,CDTR14
18/11/2020 05:39:03,84.63,4082952,2240 J R,CDTR14
22/09/2020 16:22:15,89.8,4104009,1364 J B,CDTR14
10/11/2020 04:12:35,78.39,4084634,0444 J A,CDTR14
19/08/2019 09:17:26,89.8,4071326,1431 J B,CDTR14
23/10/2020 00:24:52,89.8,4090202,0958 J,LTR6
09/08/2020 13:43:59,86.91,4082368,0849 J A,CDTR14
18/11/2020 14:15:45,88.13,4081528,1106 J A,CDTR14
04/11/2020 23:57:45,55.41,4096604,0135 J A,CDTR14
26/09/2019 18:02:41,64.23,4086288,0428 J B,CDTR14
04/10/2019 15:07:30,63.17,4071902,1086 J A,CDTR14
28/10/2020 15:11:50,78.08,4078674,0680 J B,CDTR14
17/11/2020 02:39:25,89.5,4071191,1011 J A,CDTR14
05/09/2020 00:35:51,88.13,4085524,0697 J A,CDTR14
01/10/2020 06:46:58,59.67,4086066,0010 J,LTR6
05/11/2020 15:09:56,89.8,4103044,1103 J B,CDTR14
18/11/2020 09:45:16,42.93,4103956,0245 J D,CDTR14
18/11/2020 07:15:30,86.45,4082478,0793 J B,CDTR14
17/11/2020 22:30:32,88.13,4062998,0559 J B,CDTR14
17/07/2020 18:10:58,51.15,4084201,0789 J A,CDTR14
08/11/2020 07:27:40,83.11,4092582,0934 J A,CDTR14
18/11/2020 08:12:29,79.76,4085558,0861 J A,CDTR14
14/11/2020 07:38:55,89.8,4081898,0389 J A,CDTR14
21/10/2020 13:42:09,68.5,4081212,1066 J A,CDTR14
18/11/2020 07:54:01,74.74,4078681,0421 J A,CDTR14
18/09/2020 02:01:30,46.43,4078358,0154 J A,CDTR14
08/02/2020 10:30:29,86.45,4103828,1032 J B,CDTR14
22/10/2019 17:49:27,89.8,4104725,0651 J B,CDTR14
31/10/2020 06:50:34,76.41,4093396,2654 R,CDTR14
13/11/2020 09:25:57,83.11,4093100,1458 J A,CDTR14
07/11/2020 00:31:59,86.45,4096429,1424 J A,CDTR14
06/10/2020 07:34:07,77.02,4064305,1402 J B,CDTR14
31/07/2020 12:45:53,78.08,4095621,0643 J A,CDTR14
17/11/2020 23:37:22,76.41,4096503,0227 J A,CDTR14
18/11/2020 02:04:28,68.04,4085279,1123 J A,CDTR14
05/11/2020 00:09:43,60.28,4071686,0791 J B,CDTR14
07/06/2020 20:07:43,77.17,4085286,0951 J A,CDTR14
27/07/2020 08:03:40,28.77,4085877,0325 J B,CDTR14
23/07/2020 21:25:00,66.06,4085329,0556 J A,CDTR14
07/07/2020 17:13:20,70.63,4085986,0006 J A,CDTR14
04/01/2020 10:48:16,77.78,4104430,0866 J B,CDTR14
03/11/2020 09:32:27,59.67,4085925,1378 J A,CDTR14
31/07/2020 10:27:48,57.84,4093091,1394 J B,CDTR14
18/11/2020 03:56:29,75.95,4082320,1381 J B,CDTR14
18/11/2020 00:21:22,71.39,4082280,1383 J A,CDTR14
18/11/2020 10:18:40,88.13,4082344,1379 J A,CDTR14
18/11/2020 02:22:07,76.41,4073319,1396 J A,CDTR14
01/12/2019 07:54:29,85.54,4073687,0681 J,LTR6
