Mensagem,Bateria,Tag,Serial,Familia
14/11/2020 13:29:01,81.43,4104672,0647 L,CP804834 
17/11/2020 15:35:01,76.41,4063703,0650 L,CP804834 
22/10/2020 09:37:26,84.02,4080342,1006 L,M0131AKN
18/11/2020 12:13:27,56.32,4103754,1113 L,M0131AKN
18/11/2020 09:53:55,84.93,4071972,0798 L,M0025DKP
18/11/2020 05:32:42,89.8,4079807,0803 L,M0025DKP
17/11/2020 04:13:35,88.13,4080401,0092 L,M0029EKN
30/03/2020 08:58:37,63.02,4073592,0227 L,M0029EKN
27/04/2020 01:30:02,24.06,4083547,0446 L,M0029EKN
29/10/2020 07:33:17,89.8,4104615,0496 L,M0029EKN
10/08/2020 07:32:28,84.32,4083607,0540 L,M0029EKN
18/11/2020 10:28:42,89.65,4080091,0983 L,M0131AKN
18/11/2020 09:09:26,57.99,4072699,0843 L,M0025DKP
