Mensagem,Bateria,Tag,Serial,Familia
17/11/2020 15:18:02,59.669092921875006,4084951,0534 BV,LTR6
26/08/2020 15:44:22,42.47141971875004,4071482,0012 J,LJ
27/01/2020 19:49:49,42.47152307812496,4085552,0005 C,LTR5
21/09/2020 14:37:33,81.58472924999995,4080022,0559 BV,LTR6
29/07/2019 04:50:12,87.98,4085822,0625 J,LTR6
18/11/2020 12:31:46,59.669092921875006,4085458,0591 C,LJ
18/11/2020 13:16:44,84.78074878125,4103933,0662 J,LTR6
17/03/2020 10:38:50,86.76,4102753,0474 J R,LTR5
18/11/2020 09:56:20,84.78074878125,4103766,0565 BV,LTR6
29/06/2020 14:08:02,59.51696057812495,4084598,0775 J,LTR6
26/03/2020 12:59:49,49.62,4075004,0533 BV,LTR6
26/06/2020 05:10:54,83.106638390625,4080196,0593 C,LJ
17/11/2020 16:40:31,73.06197604687503,4104116,0560 C,LJ
18/11/2020 07:57:29,69.71375526562503,4082539,0671 J,LTR6
17/07/2020 09:33:05,76.41019682812504,4095356,0719 J,LTR6
09/11/2019 11:20:36,74.58,4086046,0008 C,LTR5
18/11/2020 05:49:25,88.1289695625,4079001,0013 C,LJ
24/09/2020 23:03:05,84.78074878125,4083578,0522 J,LJ
24/09/2020 16:06:20,42.31925292187498,4082922,0083 J,LTR6
18/11/2020 03:36:21,41.25387862500003,4105248,0640 J,LTR6
06/10/2020 16:03:29,66.06123534374996,4104024,0005 C,LJ
18/11/2020 09:00:21,81.43252799999999,4103826,0003 A,LJ
13/11/2020 13:04:19,64.69142409375002,4103448,0005 J B,LJ
30/12/2019 21:31:57,79.75841760937499,4084957,0056 C,LJ
12/11/2020 19:13:36,81.43252799999999,4085280,0706 J,LTR6
18/11/2020 05:21:10,68.03964487499996,4085136,0827 J,LTR6
16/11/2020 03:16:20,88.1289695625,4084922,0718 J A,CDTR14
20/08/2019 09:31:07,62.87,4102433,1235 J B,CDTR14
21/10/2020 09:50:04,76.41019682812504,4080051,0087 C,LJ
18/11/2020 09:07:18,63.01731370312501,4083579,1263 J A,CDTR14
18/08/2019 06:24:45,83.72,4085126,1263 J B,CDTR14
01/10/2020 06:53:37,66.36553448437502,4086002,1262 J A,CDTR14
17/06/2020 20:15:48,62.560778859375034,4084949,1299 J A,CDTR14
13/11/2020 00:56:19,89.803079953125,4102767,0014 A,LTR6
02/11/2020 07:32:05,73.06197604687503,4080231,0902 J,LTR6
18/11/2020 05:53:04,86.454859171875,4062720,1254 J B,CDTR14
27/10/2020 04:59:29,64.99586104687495,4105099,0070 J A,CDTR14
30/09/2019 18:32:48,67.43,4085862,0775 J A,CDTR14
23/03/2020 15:55:54,74.43,4080922,0346 J A,CDTR14
26/07/2019 02:41:42,12.49,4068934,1317 J A,CDTR14
16/09/2020 21:33:53,42.471488625000006,4080859,1288 J A,CDTR14
03/06/2020 23:28:52,83.25887409374997,4080648,1039 J A,CDTR14
29/08/2020 00:46:27,71.38786565624997,4062834,1040 J A,CDTR14
04/10/2019 21:38:21,75.34,4063992,0416 J A,CDTR14
02/08/2020 22:30:36,77.019001828125,4095265,0682 J A,CDTR14
13/10/2020 13:08:23,80.06282010937497,4080385,1083 J A,CDTR14
06/11/2020 16:34:39,83.41104089062497,4072389,1082 J A,CDTR14
