Mensagem,Bateria,Tag,Serial,Familia
09/08/2019 14:57:44,71.3,5040777,7468,2G4833312
22/08/2019 18:40:04,47.8,5040166,7379,2G4833311
07/09/2019 06:51:07,59.6,5040746,7306,2G4833311
26/07/2019 04:46:44,30.1,5042245,7285,2G4833312
20/08/2019 07:57:51,41.9,5042514,7434,2G4833312
06/08/2019 22:13:42,41.9,5040562,7467,2G4833312
01/08/2019 23:22:39,71.3,5042519,7380,2G4833312
15/08/2019 00:08:54,30.1,5041183,7383,2G4833312
15/08/2019 02:07:32,65.4,5040059,7307,2G4833312
11/08/2019 21:32:19,65.4,5040991,7384,2G4833312
27/08/2019 22:45:11,65.4,5040771,7433,2G4833312
18/08/2019 09:11:00,36,5041390,7430,2G4833311
05/06/2019 20:32:23,65.4,5041182,7342,6EA817111
30/08/2019 12:23:51,65.4,5040634,7366,6EA817111
14/08/2019 20:10:07,36,5040934,7391,6EA817111
29/09/2019 23:22:19,65.4,5042460,7328,6EA817111
05/08/2019 06:03:23,65.4,5041466,7452,2G4833312
04/08/2019 12:42:46,65.4,5041570,7369,6EA817111
04/09/2019 05:34:44,65.4,5040593,7313,6EA817111
27/07/2019 21:52:07,71.3,5042333,7365,6EA817111
31/07/2019 22:33:31,65.4,5040988,7392,6EA817111
02/08/2019 01:54:05,59.6,5040259,7328,6EA817111
